#RECEIVE_AGENT_ID	RECEIVE_CODE	BILLER_NAME	POE_SVC_MSG_EN_TEXT	POE_SVC_MSG_ES_TEXT	ALL_KEYWORDS
65514625	7233	MY FLORIDA COUNTY.COM			TAYLOR COUNTY CHILD SUPP;SARASOTA COUNTY CHILD SD;SUWANNEE COUNTY CHILD SD;MYFLORIDACOUNTY;DADE COUNTY CHILD SUPP;LAFAYETTE COUNTY CHILD SD;SANTA ROSA COUNTY CHILD S;ST. LUCIE COUNTY CHILD SD;OKEECHOBEE COUNTY CHILD S;ORANGE COUNTY CHILD SUPP;DIXIE COUNTY CHILD SUPP;SUMTER COUNTY CHILD SUPP;GALDES COUNTY CHILD SUPP;CHILDSUPPORT;BAKER COUNTY CHILD SUPP;PALM BEACH COUNTY CHILD S;HERNANDO COUNTY CHILD SD;ALACHUA COUNTY CHILD SUPP;BAY COUNTY CHILD SUPP;CALHOUN COUNTY CHILD SUPP;COLUMBIA COUNTY CHILD SD;ESCAMBIA COUNTY CHILD SD;LEE COUNTY CHILD SUPP;MYFLORIDACOUNTY.COM;OSCEOLA COUNTY CHILD SUPP;PUTNAM COUNTY CHILD SUPP;WAKULLA COUNTY CHILD SD;LIBERTY COUNTY CHILD SD;MANATEE COUNTY CHILD SD;HOLMES COUNTY CHILD SD;FL CHILD SUPPORT;JACKSON COUNTY CHILD SD;INDIAN RIVER COUNTY CHILD;MARION COUNTY CHILD SUPP;PINELLAS COUNTY CHILD SD;FLORIDA CHILD SUPPORT;BRADFORD COUNTY CHILD SD;OKALOOSA COUNTY CHILD SD;LAKE COUNTY CHILD SUPP;LEVY COUNTY CHILD SUPP;FLAGLER COUNTY CHILD SUPP;DUVAL COUNTY CHILD SUPP;HAMILTON COUNTY CHILD SD;NASSAU COUNTY CHILD SUPP;VOLUSIA COUNTY CHILD SD;CITRUS COUNTY CHILD SUPP;BROWARD COUNTY CHILD SUPP;HILLSBOROUGH COUNTY CHILD;BREVARD COUNTY CHILD SUPP;SEMINOLE COUNTY CHILD SD;DESOTO COUNTY CHILD SUPP;POLK COUNTY CHILD SUPP;CHARLOTTE COUNTY CHILD SD;GILCHRIST COUNTY CHILD SD;GULF COUNTY CHILD SUPP;HARDEE COUNTY CHILD SUPP;MARTIN COUNTY CHILD SUPP;HENDRY COUNTY CHILD SUPP;UNION COUNTY CHILD SUPP;HIGHLANDS COUNTY CHILD SD;WALTON COUNTY CHILD SUPP;CLAY COUNTY CHILD SUPP;LEON COUNTY CHILD SUPP;MADISON COUNTY CHILD SD;ST. JOHNS COUNTY CHILD SU;GADSDEN COUNTY CHILD SUPP;MONROE COUNTY CHILD SUPP;WASHINGTON COUNTY CHILD S;CHILD SUPPORT;COLLIER COUNTY CHILD SUPP;PASCO COUNTY CHILD SD;JEFFERSON COUNTY CHILD SD;FRANKLIN COUNTY CHILD SD
65124293	6804	UCN	Same Day	Mismo Dia	
40605261	1696	DOLPHIN FINANCIAL SERVICE	Same Day	Mismo Dia	
45051852	6034	INNOVATIVA	Same Day	Mismo Dia	
41504727	2478	STERLING JEWELERS INC	Same Day	Mismo Dia	
40944634	2105	PROGRESSIVE COMPUTING	Same Day	Mismo Dia	
44102278	5198	CREDITGUARD OF AMERICA	Same Day	Mismo Dia	
68155858	13735	GORDON C HONIG DMD-NXTDY	Next Day	Dia Siguiente	GORDON C HONIG DMD PA
68154833	13635	ABILENE KS WATR SWR-NXTDY	Next Day	Dia Siguiente	ABILENE WATER AND SEWER
68155751	13725	ELKHART PUBLIC UTIL-NXTDY	Next Day	Dia Siguiente	ELKHART PUBLIC UTILITIES
67350890	10188	CITY OF YUBA CITY NEXTDAY	Next Day	Dia Siguiente	YUBA CITY;CITY OF YUBA CITY
43990452	5021	MILITARY FINANCIAL	Same Day	Mismo Dia	
43433663	3873	VEHICLE ACCEPT ATLANTA AS	Same Day	Mismo Dia	VEHICLE ACCEPT  ATLANTA
65801891	7431	FSI FUNDING			
65210149	6910	MERCED SCHOOL EMPLOYEES FCU	Same Day	Mismo Dia	
40538053	1624	COP TRAVEL	Same Day	Mismo Dia	
40669045	1773	PSECU	Same Day	Mismo Dia	
40823616	2040	HIGH TECH COMMUNICATIONS	Same Day	Mismo Dia	H-TEC COMMUNICATIONS;HIGHTECH;HI TEC COMMUNICATIONS
43645422	4347	OLD HONDA FINANCIAL USE RC 1888	Same Day	Mismo Dia	
40682792	1803	WELLS FARGO DLR SVC PLEASANTON	Same Day	Mismo Dia	WACHOVIA DLR SVC PLEASANT
67024728	9455	PACIFIC SEL PRP INS-NXTDY	Next Day	Dia Siguiente	PACIFIC SELECT PROPERTY I
40644620	1738	LML PAYMENT SYSTEMS	Same Day	Mismo Dia	
45157264	6149	JADE FINANCE CORP	Same Day	Mismo Dia	
67028795	9491	TIGO SENEGAL RECHARGE BY EZETOP	Same Day	Mismo Dia	SEENGAL ;ITGO;SENEAGL ;SENEAL ;TIOG;SEEGAL ;ESNEGAL ;EASYTOP;BOSS;SENEGLA ;SENEGAL;SENEGL ;TGIO;BOSS REVOLUTION;TGO;EZZTOP;EZTOP;TIG;SNEGAL ;EZY;RECHARGE;SENEGA ;SENGAL ;SNEEGAL ;TOP UP;TOPUP;EZETOP;SENGEAL ;TIKO;SEENGAL ;SENEGLA ;TGIO;TIG;TIKO;EZETOP;SNEEGAL ;TIOG;SNEGAL ;SENEAGL ;EZY;SENEGAL;SENEGA ;TGO;ESNEGAL ;ITGO;TOP UP;EASYTOP;BOSS;RECHARGE;SEEGAL ;SENGAL ;EZZTOP;TOPUP;SENEGL ;SENEAL ;BOSS REVOLUTION;SENGEAL ;EZTOP
67759446	12654	PREMERA BLUE CROSS-NXTDY	Next Day	Dia Siguiente	
67761133	12689	SUMMIT WATER DISTRI-NXTDY	Next Day	Dia Siguiente	SUMMIT WATER DISTRIBUTION
65161311	6842	NYS IAG	Same Day	Mismo Dia	
40694023	1823	TD RETAIL CARD SERVICES	Same Day	Mismo Dia	FURNITURE FIRST UMBRELLA;M JACOBS;RENOVATE - HARDWARE;WESTON JEWELERS;FOUR SEASONS & LEADING LA;CAMILLE LAVIE;JEFFREY;COPLON'S;NAMCO;DONCASTER;ASHLEY CITY FURNITURE;STIHL INC;GENESIS DIAMONDS;MURPHY JEWELERS;THE WORTH COLLECTION;FOREST RIVER;CLEARSPAN;WEISS & GOLDRING;KIMBRELLS OF SOUTH CAROLI;TOSHIBA;PILGRIM FURNITURE CITY;JAMES ALLEN;ABERSON'S ALLEY NEXT;DINEWISE;DISCOVERY FURNITURE;FOUR SEASONS AND LEADING;INTERIORS BY DECORATING D;FOUR SEASONS LEADING LADY;ROLEX PRESESNTED BY TWC;SCA HOME;TOURBILLON;CARDOW JEWELERS;DIAMONDS INTERNATIONAL; INC.;MARVINS;SCA CREDITLINE;M JACOBS FURNITURE;M. JACOBS;KIMBRELL'S OF SOUTH CAROL;KIMBRELLS OF SC;PURE CREDIT;FURNITURELAND;FURNITURE FACTORY OUTLET;CHAIN REACTION JEWELERS/M;TOURNEAU;ADI AMERICAS;ROOMMAKERS;MICHAELS LEATHER AND OAK;DO IT BEST;ELITE JEWELERS LITTMAN ;BROYHILL HOME COLLECTIONS;GLAMOUR SHOTS;SHOPPERS CHARGE ACCOUNTS;LEMONS' JEWELRY;RENOVATE - PROJECTS;STIHL;DIAMOND FURNITURE;ASHLEY /CITY FURNITURE;SUNLILGHT SAUNAS;DAVIDS LIMITED;RENOVATE;DAVID'S LIMITED;CAPITOL;POMPANOOSUC;EDWARD ARTHUR JEWELERS;ISLAND T'S LIMITED;BOB ELLIS;ELITE JEWELERS BARCLAY ;RENOVATE/ASHLEY;DESIGN WITHIN REACH;MAYORS JEWELERS;OMEGA;KNIT WIT;RENOVATE HARDWARE;WESTERN AUTO SUPPLY CO.;A. O. WHITE SPORT;MARQUEE JEWELERS;TENDER;TANNER OUTLETS;RENOVATE PROJECTS;AMERICA'S MATTRESS ;ROOMS TO GO;BANG & OLUFSEN;FURNISH 123;REEDS JEWELERS;US GOLD FIRM;LEADING LADY;RENOVATE ASHLEY;CAPPERELLA FURNITURE;ISLAND TS LIMITED;COLORADO PRIME FOODS;ABERSONS ALLEY NEXT;ADVANCE AUTO;BANG OLUFSEN;CITY FURNITURE;DARBY'S BIG FURNITURE;DARBYS BIG FURNITURE;DO IT CENTER;HOWELL FURNITURE;LEMONS JEWELRY;M. JACOBS FURNITURE;METROPOLITAN FURNISHINGS;MICHAELS LEATHER OAK;ROBBINS BROTHERS;THE COUNTRY GENTLEMAN;TOOTSIES;YARD CARD;CHOICE FURNITURE;BANG AND OLUFSEN;MICHAEL'S LEATHER & OAK;YARD CARD COMMERCIAL;ASHLEY HOMESTORE;CARTIER;LUXURY JEWELRY CLASS;GHA TECHNOLOGIES;FARM TEK;ROBBINS BROS.;A O WHITE SPORT;MARVINS COMMERCIAL;CUB CADET;PILGRIM FURNITURE CITY  ;RE.NOVATE;WINDSOR JEWELERS;RALEIGH LIMITED;TROY-BILT;GROUP USA INC.;FURNITURELAND SOUTH;AMERICAS MATTRESS;JR CIGARS;ELITE JEWELERS FRED MEYER;RE NOVATE;FRANCES KAHN OF VIRGINIA;MAYOR'S JEWELERS
44501280	5585	LAW OFFICES OF BONNIE CANTY	Same Day	Mismo Dia	
66673125	8086	UGI UTILITIES INC 2-3 DAY	2 - 3 Day	2 a 3 Dias	
41324884	2363	SECURITY NATIONAL	Same Day	Mismo Dia	
67776678	12806	JACKSON ENERGY C KY-NXTDY	Next Day	Dia Siguiente	JACKSON ENERGY COOP KENTU
66682776	8146	MISSOURI AMER WTR -2-3DAY	2 - 3 Day	2 a 3 Dias	MISSOURI AMERICAN WATER ;MISSOURI AMERICAN WATER
67420306	10440	FOX CHAPEL AUTHORIT-NXTDY	Next Day	Dia Siguiente	FOX CHAPEL AUTHORITY
41396948	2411	GULF STATES FINANCE CO	Same Day	Mismo Dia	
43255485	3464	NEWROADS TELECOM	Same Day	Mismo Dia	
41743355	2636	PRAIRIE GOLD FOODS	Same Day	Mismo Dia	
43427019	3863	TELESIS COMMUNITY CU	Same Day	Mismo Dia	
40586694	1678	NATIONSTAR MORTGAGE	Same Day	Mismo Dia	NATION STAR;NATIONSTAR
44260259	5385	FLORIDA COURT ORDERED PAYMENTS JPAY	Same Day	Mismo Dia	JAPY;JPA;JPAY INC;DEPARTMENT OF;DEPARTMENT OF CORRECTION;JAY;JPYA;DEPARTMENT OF COR;DEPART OF CORRECTION;DEPARTMENT OF CORRECTIONS;JPAID;JPAY CORRECTIONAL;DEPARTMENT;PAY;JAP;DEPARTMENT OF CORRECTIONA;JPAY;JPAL;DEPARTMEN OF CORRECTIONS;DEPARTAMENT;DEPART OF CORRECTION IN ;DEPARTMENT OF CORR;JAPAY;DEPARTMENT CORRECTION;JPAYS;JPY;PJAY;FLORIDA DC COURT PAYMENTS
43218752	3406	THOMAS GEORGE ASSOCIATES	Same Day	Mismo Dia	
45832246	6445	MODERN FINANCIAL SERVICES CORP	Same Day	Mismo Dia	
44480356	5556	ACCOUNT RECOVERY INC	Same Day	Mismo Dia	
44383330	5467	GNUSA	Same Day	Mismo Dia	
40654306	1750	COOK CTY DEPT OF CORRECT	Same Day	Mismo Dia	COOK  COUNTY;CCCI;COOK COUNTY JAIL HOUSE;CCDOC;COOK CITY DEPARTMENT;JAIL;COOK CNTY INMATE;COOK COUNTY DEPARTMENT OF;COOK CITY OF CORRECT;COOK COUNTY DEPARTMENT;COOK CITY DEPT OF CORRECT;COOK COUNTY CORR;COOK COUTY JAIL;COOK COUNTY CORRECTIONS;CCD;CCDO;COOK COUNTY DEPAETMENT OF;COOK COUNTY COMMISSARY;COOK CTY DEPT CORRECTION;COOK COUNTY SHERIFF;COOKCOUNTY JAIL;COOKCOUNTY;COOK COUNTY D.O.C.;COOK DEPT OF CO;DEPT CORR COOK COUNTY;COOK COUNTY CORRECTIONAL;COOK COUNTY ILLINOIS;COOK COUNTY CORREGIONAL;COOK COUNTRY CORREGIONAL;CCDC;COOK COUNTYU;COOK COUNTY CORRECCIONAL;COOK COUNTY DEPT OF CORRE;COOK COUNITY;COOK;COOK OUNTY;COOK CUNTY;CCC;COOK COU;COOCK COUNTY CORREGIONAL;COOK COUNT CORRECTION;COOKCITY;COOK COUNTY COR FAC;COOK COUNTY JAIL;COOK CONTY JAIL;COOK CNTY;COOKCOUNTYJAIL;COOK  CORRECTIONS;COOK COUNTY SHERRIF;COUNTY JELL;COOK COUNT JAIL;CORECTIO;COOK COUNY JAIL;COOL COUNTY CORRECTIONAL;COOK COUNTY TRUST FUND;COOK CORRECTION;JAIL COOK;COOKC OUNTY;COOKE;COOKCOUNTY DEPARTMENT OF;COOK CONTY;COOK CTY DEPT CO;COOK COUNTY JAY;COOCK COUNTRY CORREGIONAL;COREC;COOK CO DEPT COR;COOK COUNTY JAILL;COOK COUNTY;COOK COUNT CORRECTION CEN;COOK COUNTY INMATE FUNDS;COOK COUTY;COOK CTY DEPT OF CORRECT;COOK SALES;COOKCOUNTRY JAIL;COOK JAIL;COOK COUNTRY
44964694	5943	ROUTING ONLY USBANK 2	Next Day	Dia Siguiente	US BANK ELAN ;ELAN FINANCIAL SYSTEMS
41500491	2467	PREFERRED CREDIT INC	Same Day	Mismo Dia	
66750611	8294	SACRAMNTO SUBRB WTR-NXTDY	Next Day	Dia Siguiente	SACRAMENTO WATER DISTRICT;SACRAMENTO WATER DISTRICT
40911256	2083	PINNACLE FINANCIAL GROUP LLC	Same Day	Mismo Dia	
66750653	8293	USE R/C 12422 FOR GULF POWER	Next Day	Dia Siguiente	GULF POWER
66756327	8515	SO CENT AR ELECTRIC-NXTDY	Next Day	Dia Siguiente	SC AR ELECTRIC;SCAEC;SC AR ELECTRIC;SCAEC
68294696	13974	COUNTY OF SUMMIT OH-NXTDY	Next Day	Dia Siguiente	
68294832	13988	RURAL ELECTRIC CONV-NXTDY	Next Day	Dia Siguiente	RURAL ELECTRIC CONVENIENC
40791612	1936	BUCKHEAD EXPORTS AND IMP	Same Day	Mismo Dia	BUCKHEAD EXPORTS-IMP;BUCKHEAD EXPORTS&IMP;BUCKHEAD EXPORTS_IMP;BUCKHEAD EXPORTS N IMP;BUCKHEAD EXPORTSNIMP;BUCKHEAD EXPORTSANDIMP;BUCKHEAD EXPORTS IMP;BUCKHEAD EXPORTS.IMP;BUCKHEAD EXPORTS - IMP;BUCKHEAD EXPORTS & IMP
51236865	6540	MPH2 FUNDING	Same Day	Mismo Dia	
65750706	7379	"TAX DEFENSE NETWORK, INC"			
65321449	7057	ORIENT PLUS	Same Day	Mismo Dia	
43559725	4128	US CASH CORP	Same Day	Mismo Dia	
44063016	5148	CC FORT WALTON BEACH FL	Same Day	Mismo Dia	
67504170	10938	TIPP CITY OH UTILIT-NXTDY	Next Day	Dia Siguiente	TIPP CITY SEWER; TIPP CITY TRASH; TIPP CITY ELECTRIC;CITY OF TIPP CITY OHIO; TIPP CITY WATER
44385189	5472	THE LAW OFFICES OF JOHN P FRYE PC	Same Day	Mismo Dia	LAW OFFICES OF JOHN P FRY
41656196	2583	GM FINANCIAL	Same Day	Mismo Dia	"AMERICREIDT;AMERI CREDIT;AMERIA CREDIT;AMERI CREDIR;AMERICREDIT FINANCE;AMERICCREDIT;AMERICREDTI;AMERICA CREDIT;GM CREDIT;AMERI CREDITS;AMERICA CRED;AMERA CREDIR;AMERCREDIT;AMERICREDIT;GM FINALCIAL;GENERAL MOTORS FINANCIAL;AMERCREDFINANCIAL;AMERICREDIT FINANCIAL;AMERICREDITTEXAS;AMRICREDIT;AMERIC CREDIT;AMERICREDEIT;AMERI CRIET;GM AMERICA CREDIT;AMERICEDIT;AMERICREDIT TX;AMERICRIEDIT;AMECREDIT;AMERI CREDIT FINANCE;GMFINANCIAL;AMERICRDT;AMERICRDIT;GM FINANCE;GMC AUTO FINANCIAL;AMERE CREDIT;AMERI CREDIT TX;AMERICRIDET;AMERCREDAT;GM  FINANCIAL;GMC FINANCIAL;AMERICREDIT , TX;AMERICREDIT CREDIT;AMEICAN CREDIT;AMERICERDIT;FORT WORTH TX;AMERI CEDIT;AMERIACREDIT;AMERICACREDIT;GM FINACIAL;AMER CREDIT"
45760240	6400	GENEVA ROTH VENTURES COLLECTIONS	Same Day	Mismo Dia	
43645231	4341	OLD HONDA FINANCIAL USE RC 1888	Same Day	Mismo Dia	
66805595	8748	AMICALOLA ELECT MEM NXTDY			AMICALOLA ELECTRIC MEM
42514431	2981	CONSUMER CREDIT BUDGET	Same Day	Mismo Dia	
40094649	8	D SCOTT CARRUTHERS	Same Day	Mismo Dia	
40666035	1764	FLORIDA TELEPHONE SVC	Same Day	Mismo Dia	
44131883	5228	RUDOLPH INCORPORATED	Same Day	Mismo Dia	
67559400	11497	TOWN OF MASHPEE MA-NEXTDY	Next Day	Dia Siguiente	
67926907	13074	CITY TULARE CA UTIL-NXTDY	Next Day	Dia Siguiente	CITY OF TULARE SEWER;CITY OF TULARE TRASH;CITY OF TULARE UTILITIES;CITY OF TULARE WATER
40650339	1742	DEPENDABLE CREDIT CORP	Same Day	Mismo Dia	
67564000	11524	BENSON MUNICIP UTIL-NXTDY	Next Day	Dia Siguiente	BENSON MUNICIPAL UTILITIE;SWGE;CITY OF BENSON MN
67927045	13088	DELAW DEPT OF LABOR-NXTDY	Next Day	Dia Siguiente	DELAWARE DEPARTMENT OF LA
43369630	3731	JORJA TRADING INC	Same Day	Mismo Dia	
65012855	6674	NASHVILLE ELEC NEXT DAY	Next Day	Dia Siguiente	
68380474	14232	HENRY FORD HEALTHSY-NXTDY	Next Day	Dia Siguiente	HENRY FORD HEALTH SYSTEM
65507409	7224	USE 1544 FOR FRANKLIN	Same Day	Mismo Dia	
40838261	2042	MB FINANCIAL	Same Day	Mismo Dia	
40952150	2126	COMM CENTRAL	Same Day	Mismo Dia	
68389022	14247	BLUE CROSS DENTAL AND MEDICAL	Next Day	Dia Siguiente	COBRA;MEDIPAK ARKANSAS;BCBS DENTAL;BLUE CROSS BLUE PLAN;BLUE CROSS MEDIPAC;MEDIPACK ARKANSAS BCBS;BLUE CROSS DENTAL;BCBS HEALTH INSURANCE;BLUE CROSS MEDICAL;ARKANSAS MEDIPAK BCBS;ARKANSAS MEDIPACK BCBS;BCBS COBRA HEALTH ;BCBS MEDIPACK AR;MEDIPAK;BLUE CROSS MEDIPAK;BCBS MEDIPACK;BCBS MEDIPAC;AR BCBS MEDIPACK;BLUE CROSS MEDIPAK AR;BCBS COBRA;AR BCBS MEDIPAK;BCBS BLUE PLAN;BCBS MEDICAL DENTAL;BCBS MEDICAL INSURANCE;BCBS;BLUE CROSS COBRA;COBRA INSURANCE;BCBS MEDIPAK;BCBS COBRA INSURANCE;ARKANSAS BCBS MEDIPAK;MEDIPAC ARKANSAS BCBS;MEDIPAC BLUE CROSS;AR BLUE CROSS MEDIPAK;BCBS AR DENTAL;MEDIPAC;MEDIIPACK BLUE CROSS;BLUE PLAN;BCBS COBRA MEDICAL;MEDIPAK BCBS ARKANSAS;BCBS ARKANSAS DENTAL;MEDIPAK BCBS;MEDIPACK;AR BCBS DENTAL;AR BCBS MEDIPAC;ARKANSAS BCBS DENTAL ;ARKANSAS MEDIPAC BCBS;BCBS BLUE;BCBS MEDIPAC AR;BCBS MEDIPAK AR;BCBS MEDIPAK ARKANSAS;MEDIPAK ARKANSAS BCBS;MEDIPAK BLUE CROSS
65719886	7344	GLOBAL AG			
44714022	5665	CASH CORNER	Same Day	Mismo Dia	
67217360	9837	BATTLE MT WTR SWR NXTDY	Next Day	Dia Siguiente	BATTLE MTN WATER AND SEWE;BATTLE MOUNTAIN WATER;BATTLE MOUNTAIN WATER SEW;BATTLE MOUNTAIN SEWER;BATTLE MOUNTAIN WATER SEW;BATTLE MOUNTAIN SEWER;BATTLE MTN WATER AND SEWE;BATTLE MOUNTAIN WATER
40695734	1824	HIGH ENERGY LIGHTING INC	Same Day	Mismo Dia	
44580599	5598	A1 AUTO TITLE LOAN	Same Day	Mismo Dia	
65889172	7469	ROYAL AUTO CREDIT	Same Day	Mismo Dia	ROYAL 221
40150907	1548	"OLD NAME, USE CODE  1544"	Same Day	Mismo Dia	CITY AUTO;CITYFINANCIAL;SANTANDER;CITIFINACIAL AUTO;CITIFINACIAL;CITE FINANCE;CITY FINANCIAL;CITI FINACIAL;CITI AUTO;CITI FINANCE;CITI AUTO FINANCIAL;CITYFINANCIAL AUTO;CITI FINANCIAL;CITI FINACIAL AUTO;CITI;CITI FINANCIAL AUTO;CITY FINANCIAL AUTO;CITIFINANCIAL AUTO
44940278	5927	USE CODE 6556	Same Day	Mismo Dia	CCDOC;DOC STATE CO;COLORADO DEP;COLORADO CORRECTIONS;COLORADO DEPT;CO DOC;COLORADO DEPARTMEN;CO CORRECTIONAL;COLORADO DEPT_OF;COLO DEPT OF COR;CO DEP OF CORR;COLORADO DEPT COR;CCDO;CO DEPT OF CORRECTIONS;DOC STATE COLORADO;CO DEPT CORRECTIONS;CCD;COLORADO CORECTIONAL;CCDC;COLORADO DEPT OF CORR;CODOC;COLORADO ST PRISON;COLORADO DOC;DEPT CORRECTIONS COLO;CCDC;COLORADO DEPT;CO CORRECTIONAL;COLORADO CORRECTIONS;CO DEPT CORRECTIONS;COLORADO DEPARTMEN;DOC STATE COLORADO;DOC STATE CO;COLORADO DEP;CCDOC;CODOC;CCDO;COLO DEPT OF COR;COLORADO DEPT OF CORR;COLORADO DEPT_OF;CO DEPT OF CORRECTIONS;COLORADO ST PRISON;DEPT CORRECTIONS COLO;CCD;COLORADO DOC;COLORADO DEPT COR;COLORADO CORECTIONAL;CO DEP OF CORR;CO DOC
68421197	14275	MANHEIM BORO PA-NXTDY	Next Day	Dia Siguiente	
67637212	11854	UTIL INC HUTCHNSNIS-NXTDY	Next Day	Dia Siguiente	UTILITIES INC HUTCHINSON;UTILITIES INC OF HUTCHINS;HUTCHINSON ISLAND UTILITI
67641648	11913	GREELEY COLO WATER-NEXTDY	Next Day	Dia Siguiente	GREELEY WATER;GREELEY CO WATER;CITY OF GREELEY COLORADO
68007207	13277	AMERICAN FAMILY BN2-NXTDY	Next Day	Dia Siguiente	AMERICAN FAMILY BENEFITS2
68007184	13275	AIRGAS BENEFITS-NXTDY	Next Day	Dia Siguiente	
67292327	9988	CITY MANSFIELD TX NEXTDAY	Next Day	Dia Siguiente	CITY OF MANSFIELD TX;CITY OF MANSFIELD TEXAS
66973854	9271	INTERSTATE NETBKMTG-NXTDY	Next Day	Dia Siguiente	INTERSTATE NET BK MTG;INTERSTATE NET BANK MORTG;INTERSTATE NET MORTGAGE
68155942	13744	HAVILAND TELEPHONE-NXTDY	Next Day	Dia Siguiente	HAVILAND TELEPHONE COMPAN
68154891	13641	AGFIRST FARM CR BNK-NXTDY	Next Day	Dia Siguiente	AGFIRST FARM CREDIT BANK
67713217	12197	FARMERS MERCHNT BNK-NXTDY	Next Day	Dia Siguiente	FARMERS MERCHANTS BANK NC;FARMERS AND MERCHANTS BAN;FARMERS & MERCHANTS BANK
67716081	12314	THIRDNATBNK SEDALIA-NXTDY	Next Day	Dia Siguiente	THIRD NATIONAL BANK OF SE;THIRD NATIONAL BANK SEDAL
67716007	12312	TD BANK UPPER NY-NXTDY	Next Day	Dia Siguiente	
67718487	12354	ARLINGTON HEIGHT IL-NXTDY	Next Day	Dia Siguiente	VILLAGE OF ARLINGTON HEIG;ARLINGTON HEIGHTS WATER;ARLINGTON HEIGHTS IL WATE
67719088	12373	YADKIN VALLEY TELEP-NXTDY	Next Day	Dia Siguiente	YADKIN VALLEY TELEPHONE
67349131	10164	CITY OF REDLANDS CA NXTDY	Next Day	Dia Siguiente	CITY OF REDLANDS CA;REDLANDS
67350447	10181	CITY OF TRACY CA NEXT DAY	Next Day	Dia Siguiente	TRACY;CITY OF TRACY CA
67741218	12524	CITY OTHELLO WA ELE-NXTDY	Next Day	Dia Siguiente	CITY OF OTHELLO ELECTRIC;OTHELLO ELECTRIC;OTHELLO WA ELECTRIC;CITY OF OTHELLO WA ELECTR
68190910	13917	07 DELBERT	Same Day	Mismo Dia	
